词语,频率
无糖,3149
饮料,2605
代糖,2121
回复,1975
可乐,1834
但是,658
还是,621
觉得,611
健康,600
感觉,572
问题,563
可能,561
自己,530
蔗糖,506
减肥,465
真的,456
好喝,447
知道,439
喜欢,439
胰岛素,429
摄入,427
甜味,417
东西,391
影响,360
身体,351
视频,341
一样,339
味道,317
糖尿病,298
喝无糖,292
时候,288
很多,288
一瓶,287
脱单,285
确实,274
而且,271
糖醇,268
导致,261
喝完,255
其实,249
食品,248
研究,246
食欲,240
只是,239
已经,239
正常,234
那么,233
赤藓,233
一点,229
血糖,229
直接,227
不好,227
危害,227
一下,226
一天,223
或者,223
有糖,220
有害,220
阿斯巴甜,217
每天,216
分泌,213
这么,208
热量,208
有没有,199
喝水,197
选择,196
刺激,195
主要,192
碳酸,187
甜度,186
还有,184
为了,183
运动,177
糖精,177
一直,176
甜味剂,173
代谢,171
不如,168
开始,168
容易,166
普通,165
完全,164
出来,164
控制,162
比较,162
实验,161
含糖,161
其他,159
增加,158
人体,158
论文,156
百事,156
原因,153
快乐,153
只能,152
起来,152
嘴里,151
风险,150
的话,150
个人,149
